name,categories.0.alias,categories.0.title,categories.1.alias,categories.1.title,categories.2.alias,categories.2.title,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
Alnico,asianfusion,Asian Fusion,breakfast_brunch,Breakfast & Brunch,filipino,Filipino,37.755952,-122.421328,1050 Valencia St,San Francisco,94110,US,CA
Bac Lieu Restaurant,vietnamese,Vietnamese,noodles,Noodles,soup,Soup,37.745267,-122.420402,3216 Mission St,San Francisco,94110,US,CA
Blue Pea,asianfusion,Asian Fusion,thai,Thai,,,37.76444,-122.42157,525 Valencia St,San Francisco,94110,US,CA
Bodega SF,vietnamese,Vietnamese,noodles,Noodles,,,37.76085,-122.43365,4039 18th St,San Francisco,94114,US,CA
Burma Superstar,Burmese,Burmese,,,,,37.78278732,-122.4625397,309 Clement St,San Francisco,94118,US,CA
Cajun SF,seafood,Seafood,southern,Southern,asianfusion,Asian Fusion,37.7368189,-122.405298,92 Charter Oak Ave,San Francisco,94124,US,CA
Chic n' Time,noodles,Vietnamese,asianfusion,Asian Fusion,vietnamese,Vietnamese,37.759907,-122.421268,807 Valencia St,San Francisco,94110,US,CA
Chong Qing Xiao Mian,noodles,Szechuan,szechuan,Szechuan,,,37.796386,-122.4053411,915 Kearny St,San Francisco,94133,US,CA
Chubby Noodle,asianfusion,Asian Fusion,noodles,Noodles,chinese,Chinese,37.7997609,-122.4085676,570 Green St,San Francisco,94133,US,CA
Chubby Noodle Chinese Take Out,asianfusion,Asian Fusion,noodles,Noodles,chinese,Chinese,37.8000747,-122.4354078,2030 Lombard St,San Francisco,94123,US,CA
Dabao Singapore,singaporean,Singaporean,desserts,Desserts,popuprestaurants,Pop-Up Restaurants,37.76342,-122.41751,600 S Van Ness Ave,San Francisco,94110,US,CA
Daeho Kalbijjim & Beef Soup,korean,Korean,soup,Soup,noodles,Noodles,37.78601,-122.42858,1620 Post St,San Francisco,94115,US,CA
Dumpling Baby China Bistro,Chinese,Chinese,asianfusion,Asian Fusion,,,37.781031,-122.459886,3751 Geary Blvd,San Francisco,94118,US,CA
Dumpling Kitchen,chinese,Chinese,,,,,37.7423,-122.48701,1935 Taraval St,San Francisco,94116,US,CA
Dumpling Time,dimsum,Dim Sum,asianfusion,Asian Fusion,,,37.7697533,-122.4022546,11 Division St,San Francisco,94103,US,CA
Farmhouse Kitchen Thai Cuisine,Thai,Thai,comfortfood,Comfort Food,,,37.76019288,-122.4114189,710 Florida St,San Francisco,94110,US,CA
