name,categories.0.alias,categories.0.title,categories.1.alias,categories.1.title,categories.2.alias,categories.2.title,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.city,location.zip_code,location.country,location.state
Abhi,sushi,Sushi Bars,japanese,Japanese,,,33.484096,-86.773505,2721 Cahaba Rd,,Mountain Brook,35223,US,AL
Abhi Eatery and Bar,sushi,Sushi Bars,asianfusion,Asian Fusion,bars,Bars,33.4503463,-86.7300445,300 Summit Blvd,Ste 104,Birmingham,35243,US,AL
Bamboo on 2nd,sushi,Sushi Bars,asianfusion,Asian Fusion,ramen,Ramen,33.51707613,-86.80305243,2212 2nd Ave N,,Birmingham,35203,US,AL
Black Pearl Asian Cuisine,asianfusion,Asian Fusion,chinese,Chinese,,,33.43757,-86.728832,3439 Colonnade Pkwy,,Birmingham,35243,US,AL
Blue Pacific At Hoover Foodmart,thai,Thai,,,,,33.39689,-86.80042,3219 Lorna Rd,,Birmingham,35216,US,AL
China Bistro,chinese,Chinese,,,,,33.426276,-86.773522,3378 Morgan Dr,,Vestavia Hills,35216,US,AL
Chop Suey Inn,chinese,Chinese,,,,,33.46159744,-86.81721497,813 Green Springs Hwy,Ste F,Birmingham,35209,US,AL
EastWest,newamerican,Pan Asian,venues,Venues & Event Spaces,panasian,Pan Asian,33.5178,-86.8021,2306 2nd Ave N,,Birmingham,35203,US,AL
Formosa Chinese Restaurant,chinese,Chinese,,,,,33.391748,-86.795919,2109 Lornaridge Ln,,Birmingham,35216,US,AL
Ginza Sushi and Korean BBQ,korean,Korean,sushi,Sushi Bars,japanese,Japanese,33.414235,-86.699067,5291 Valleydale Rd,Ste 101,Birmingham,35242,US,AL
Great Wall Chinese Restaurant,chinese,Chinese,,,,,33.4757747,-86.8158094,706 Valley Ave,,Birmingham,35209,US,AL
Happy Wok Asian Cuisine,chinese,Chinese,noodles,Noodles,asianfusion,Asian Fusion,33.596343,-86.644437,1423 Gadsden Hwy,Ste 111,Birmingham,35235,US,AL
Hometown Supermarket,chinese,Chinese,grocery,Grocery,,,33.46084311,-86.81937519,808 Green Springs Hwy,Ste 140,Homewood,35209,US,AL
Hometown Supermarket and Chinese Restaurant,chinese,Chinese,grocery,Grocery,seafoodmarkets,Seafood Markets,33.46112,-86.81963,808 Green Springs Hwy,Ste 140,Homewood,35209,US,AL
Hotbox,foodtrucks,Food Trucks,asianfusion,Asian Fusion,,,33.521925,-86.773245,4036 5th Ave S,,Birmingham,35222,US,AL
Ichiban Express,sushi,Sushi Bars,,,,,33.155672,-86.747275,160 Marketplace Cir,Ste 103,Calera,35040,US,AL
