id,alias,name,image_url,url,review_count,categories.0.alias,categories.0.title,categories.1.alias,categories.1.title,rating,coordinates.latitude,coordinates.longitude,transactions.0,price,location.address1,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address.0,location.display_address.1,phone,display_phone,distance,transactions.1,location.address2,location.display_address.2,categories.2.alias,categories.2.title
aLsNHPwOmRIdWdYS6W9_Pw,three-fold-noodles-and-dumpling-little-rock,Three Fold Noodles and Dumpling,https://s3-media2.fl.yelpcdn.com/bphoto/rzobX-vZkUgRCk1D7QcoPg/o.jpg,https://www.yelp.com/biz/three-fold-noodles-and-dumpling-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,642,chinese,Chinese,noodles,Noodles,4.5,34.7426106,-92.2712163,delivery,$$,611 South Main St,,Little Rock,72201,US,AR,611 South Main St,"Little Rock, AR 72201",15013721739,(501) 372-1739,7821.11947,,,,,
45txizSCVUKxjOQYjG8lEw,mr-chens-authentic-chinese-cooking-little-rock,Mr. Chen's Authentic Chinese Cooking,https://s3-media1.fl.yelpcdn.com/bphoto/5b7p9CIaDkDaUBLUveeEGg/o.jpg,https://www.yelp.com/biz/mr-chens-authentic-chinese-cooking-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,170,chinese,Chinese,taiwanese,Taiwanese,4,34.7156637,-92.34063741,delivery,$,3901 S University Ave,Oriental Supermarket,Little Rock,72204,US,AR,3901 S University Ave,Oriental Supermarket,15015627900,(501) 562-7900,3900.752874,pickup,,"Little Rock, AR 72204",,
VAAaYB1KQWrBSK2c3gqe5Q,zangna-thai-cuisine-little-rock,Zangna Thai Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/NrNLB0dV8Bk6RWUAUFm2KQ/o.jpg,https://www.yelp.com/biz/zangna-thai-cuisine-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,177,thai,Thai,,,4,34.75753339,-92.4064551,delivery,$$,400 N Bowman Rd,,Little Rock,72211,US,AR,400 N Bowman Rd,Ste 28,15012277785,(501) 227-7785,4674.154447,pickup,Ste 28,"Little Rock, AR 72211",,
tQa_ClQ7eK3e0z7-sVgFhw,kiyens-little-rock,Kiyens,https://s3-media4.fl.yelpcdn.com/bphoto/yykEGgFzltxaNE4NZNYi2g/o.jpg,https://www.yelp.com/biz/kiyens-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,148,japanese,Japanese,asianfusion,Asian Fusion,4.5,34.76257665,-92.4530709,delivery,$$,17200 Chenal Pkwy,,Little Rock,72223,US,AR,17200 Chenal Pkwy,"Little Rock, AR 72223",15018217272,(501) 821-7272,8959.832559,,,,sushi,Sushi Bars
qCHeThqtBdKcNdIWGv6QCw,pho-thanh-my-little-rock,Pho Thanh My,https://s3-media1.fl.yelpcdn.com/bphoto/YcGB2IzVDUOMnK8Pe0h58w/o.jpg,https://www.yelp.com/biz/pho-thanh-my-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,171,vietnamese,Vietnamese,,,3.5,34.75651,-92.39418,delivery,$,302 N Shackleford Rd,,Little Rock,72211,US,AR,302 N Shackleford Rd,"Little Rock, AR 72211",15013127498,(501) 312-7498,3570.890178,,,,,
iDlbL8OXwBf7GgjRxMq4DA,chang-thai-and-asia-cuisine-sherwood-2,Chang Thai & Asia Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/vwfzeB4F4eot3We2Gic46w/o.jpg,https://www.yelp.com/biz/chang-thai-and-asia-cuisine-sherwood-2?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,92,thai,Thai,,,4,34.84491,-92.23105,delivery,$$,9830 Hwy 107,,Sherwood,72120,US,AR,9830 Hwy 107,"Sherwood, AR 72120",15018354488,(501) 835-4488,15714.27724,,,,,
8XUaRjX59R5Dpi6bxTgX-A,tokyo-house-little-rock,Tokyo House,https://s3-media3.fl.yelpcdn.com/bphoto/Ke2_RXncjleX927FC4VbTg/o.jpg,https://www.yelp.com/biz/tokyo-house-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,196,buffets,Buffets,chinese,Chinese,4,34.75547,-92.396227,delivery,$$,11 Shackleford Dr,,Little Rock,72211,US,AR,11 Shackleford Dr,"Little Rock, AR 72211",15012194286,(501) 219-4286,3707.076372,,,,sushi,Sushi Bars
sp74Mr4GFM58Kc1droTezQ,kamikaito-north-little-rock-2,KamiKaito,https://s3-media4.fl.yelpcdn.com/bphoto/gfwYhtBVux_mipg2G6rbTQ/o.jpg,https://www.yelp.com/biz/kamikaito-north-little-rock-2?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,47,japanese,Japanese,sushi,Sushi Bars,4.5,34.75879868,-92.26800528,delivery,$$$,521 Main St,,North Little Rock,72114,US,AR,521 Main St,"North Little Rock, AR 72114",15018916172,(501) 891-6172,8176.169792,,,,,
qxpsTqMqCMqBXdf6IzpuvA,mr-chengs-north-little-rock-9,Mr. Cheng's,https://s3-media2.fl.yelpcdn.com/bphoto/Efaruf9iYnTuyf0o6xWwBw/o.jpg,https://www.yelp.com/biz/mr-chengs-north-little-rock-9?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,93,chinese,Chinese,asianfusion,Asian Fusion,4,34.78952726,-92.21176661,delivery,$$,4629 E McCain Blvd,,North Little Rock,72117,US,AR,4629 E McCain Blvd,"North Little Rock, AR 72117",15019559988,(501) 955-9988,14001.60704,,,,taiwanese,Taiwanese
y2j9fOZa_1wXHZ5HIkRVug,mr-huis-little-rock,Mr. Hui's,https://s3-media4.fl.yelpcdn.com/bphoto/CQF-HDHM5olMUdNt8gDDuA/o.jpg,https://www.yelp.com/biz/mr-huis-little-rock?adjust_creative=vyhy616UjsMTA_hrWyg_5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vyhy616UjsMTA_hrWyg_5w,54,chinese,Chinese,seafood,Seafood,4,34.793131,-92.402866,delivery,$$,11525 Cantrell Rd,,Little Rock,72212,US,AR,11525 Cantrell Rd,Ste 401,15014786666,(501) 478-6666,6544.765576,,Ste 401,"Little Rock, AR 72212",noodles,Noodles
