name,categories.0.alias,categories.0.title,categories.1.alias,categories.1.title,categories.2.alias,categories.2.title,coordinates.latitude,coordinates.longitude,location.address1,location.city,location.zip_code,location.country,location.state
The Vig McCormick,newamerican,Asian Fusion,tradamerican,American (Traditional),breakfast_brunch,Breakfast & Brunch,33.5433146,-111.906081,7345 N Via Paseo Del Sur,Scottsdale,85258,US,AZ
Chennai Fusion Grill,indpak,Indian,buffets,Buffets,,,33.304722,-111.927087,4929 W Chandler Blvd,Chandler,85226,US,AZ
Nakama Sushi Restaurant & Lounge,sushi,Sushi Bars,lounges,Lounges,japanese,Japanese,33.463185,-112.343663,13215 W Mcdowell Rd,Goodyear,85395,US,AZ
Saigon Boyz Sandwich,vietnamese,Vietnamese,sandwiches,Sandwiches,,,33.36533,-111.7896451,835 N Gilbert Rd,Gilbert,85234,US,AZ
Mikado Sushi,sushi,Sushi Bars,japanese,Japanese,,,33.26121618,-111.8569604,3125 S Alma School Rd,Chandler,85248,US,AZ
Thai Basil Chandler,thai,Thai,,,,,33.30486,-111.92706,4929 W Chandler Blvd,Chandler,85226,US,AZ
PK Shabu & Grill,hotpot,Hot Pot,seafood,Seafood,noodles,Noodles,33.408182,-111.87129,1832 W Broadway Rd,Mesa,85202,US,AZ
Pei Wei,asianfusion,Asian Fusion,chinese,Chinese,gluten_free,Gluten-Free,33.78100521,-111.9240189,32607 N Scottsdale Rd,Scottsdale,85266,US,AZ
Yogis Grill Teriyaki & Roll,japanese,Japanese,sushi,Sushi Bars,,,33.5825153,-111.9244324,10629 N Scottsdale Rd,Scottsdale,85254,US,AZ
Mylynn Cafe,vietnamese,Vietnamese,,,,,33.41315842,-111.8757782,66 S Dobson Rd,Mesa,85202,US,AZ
Bomboba,bubbletea,Bubble Tea,juicebars,Juice Bars & Smoothies,icecream,Ice Cream & Frozen Yogurt,33.594428,-112.220875,7521 W Cactus Rd,Peoria,85345,US,AZ
Papaya Thai,thai,Thai,,,,,33.4228149,-111.7728896,2706 E University Dr,Mesa,85213,US,AZ
RA Sushi Bar Restaurant,japanese,Japanese,sushi,Sushi Bars,,,33.38533,-111.754825,1652 S Val Vista Dr,Mesa,85204,US,AZ
Hot Wok Tempe,chinese,Chinese,,,,,33.33290972,-111.9476662,655 W Warner Rd,Tempe,85284,US,AZ
New China Buffet,chinese,Chinese,buffets,Buffets,,,33.48184967,-112.0298691,2939 N 24th St,Phoenix,85016,US,AZ
Yucca Tap Room,musicvenues,Music Venues,divebars,Dive Bars,asianfusion,Asian Fusion,33.39265262,-111.9405376,29 W Southern Ave,Tempe,85282,US,AZ
Panda Express,chinese,Chinese,hotdogs,Fast Food,,,33.4045551,-111.9784349,4750 S 48th St,Phoenix,85040,US,AZ
Pei Wei,chinese,Chinese,asianfusion,Asian Fusion,gluten_free,Gluten-Free,33.6184249,-111.8929837,8700 E Raintree Dr,Scottsdale,85260,US,AZ
Yogis Grill,japanese,Japanese,,,,,33.43388734,-111.8681319,929 N Dobson Rd,Mesa,85201,US,AZ
China City Super Buffet,buffets,Buffets,chinese,Chinese,,,33.465545,-112.276636,10040 W Mcdowell Rd,Avondale,85392,US,AZ
Panda Express,hotdogs,Fast Food,chinese,Chinese,,,33.49449921,-112.172142,5229 W Indian School Rd,Phoenix,85031,US,AZ
Yogis Grill,japanese,Japanese,,,,,33.31954,-111.89745,3235 W Ray Rd,Chandler,85226,US,AZ
Pho Lotus,vietnamese,Vietnamese,,,,,33.36525721,-111.7877729,853 N Gilbert Rd,Gilbert,85234,US,AZ
Panda Express,chinese,Chinese,hotdogs,Fast Food,,,33.378393,-112.028684,2434 E Baseline Rd,Phoenix,85042,US,AZ
Boba Tree Lin Tea House,coffee,Coffee & Tea,bubbletea,Bubble Tea,desserts,Desserts,33.393626,-111.8731369,1139 S Dobson Rd,Mesa,85202,US,AZ
Delhi Palace Cuisine of India,indpak,Indian,buffets,Buffets,,,33.42136,-111.92481,933 E University Dr,Tempe,85281,US,AZ
Chopstick Express,chinese,Chinese,,,,,33.3637049,-111.9274946,939 E Guadalupe Rd,Tempe,85283,US,AZ
Golden Rice Express,chinese,Chinese,japanese,Japanese,,,33.61058,-112.18535,5835 W Thunderbird Rd,Glendale,85306,US,AZ
Eastwind Sushi And Grill,japanese,Japanese,sushi,Sushi Bars,,,33.3047502,-111.8423068,58 W Buffalo St,Chandler,85225,US,AZ
New China,chinese,Chinese,,,,,33.43637699,-111.7209193,1130 N Higley Rd,Mesa,85205,US,AZ
Panda Express,chinese,Chinese,hotdogs,Fast Food,,,33.5238051,-112.1518583,4309 W Bethany Home Rd,Glendale,85301,US,AZ
Far East Asian Fire,asianfusion,Asian Fusion,chickenshop,Chicken Shop,,,33.379734,-111.966972,5004 S Arizona Mills Cir,Tempe,85282,US,AZ
