States,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent",Asian Percent,"Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",,Latitude,Longitude,Korean,Cambodian,Hmong
Alabama,"4,903,185","4,780,125",2.6%,"4,779,736",6.0%,22.2%,17.3%,51.7%,69.1%,26.8%,0.7%,1.5,0.1%,1.8%,4.6%,65.3%,"330,207",3.5%,"2,284,847",68.8%,"$142,700.00","$1,186.00",$363.00,$792.00,"17,748","1,867,893",2.55,86.3%,5.3%,85.5%,76.4%,86.2%,25.5%,11.6%,11.7%,57.1%,52.3%,"7,576,462","26,039,632","124,809,759","57,746,565","58,564,965","$12,145.00",24.9,"$50,536.00","$27,928.00",15.5%,"100,267","1,730,817","76,223,039",2.4%,"336,445","374,153","203,604","137,630","92,219","272,651","41,943","316,984",94.4,"50,645.33",,32.806671,-86.791130,11068,552,122
Alaska,"731,545","710,249",3.0%,"710,231",7.0%,24.6%,12.5%,47.9%,65.3%,3.7%,15.6%,6.5,1.4%,7.5%,7.3%,60.2%,"65,186",7.8%,"319,854",64.3%,"$270,400.00","$1,933.00",$582.00,"$1,244.00","1,680","253,346",2.80,82.1%,16.1%,94.1%,85.5%,92.8%,29.6%,8.9%,13.9%,65.5%,63.1%,"2,221,335","6,375,483",D,"5,216,303","10,474,275","$14,320.00",19.1,"$77,640.00","$36,787.00",10.1%,"21,293","261,053","15,732,010",-0.4%,"57,391","68,032","35,402","22,141","13,688","51,147","7,953","56,091",1.2,"570,640.95",,61.370716,-152.404419,4697,142,3
Arizona,"7,278,717","6,392,288",13.9%,"6,392,017",5.9%,22.5%,18.0%,50.3%,82.6%,5.2%,5.3%,3.7,0.3%,2.9%,31.7%,54.1%,"488,061",13.3%,"3,075,981",64.4%,"$225,500.00","$1,434.00",$419.00,"$1,052.00","46,580","2,571,268",2.68,82.6%,27.1%,91.7%,84.1%,87.1%,29.5%,8.7%,13.6%,59.4%,54.7%,"13,996,635","37,055,881","51,243,473","69,437,272","84,716,542","$12,927.00",25.7,"$58,945.00","$30,694.00",13.5%,"144,867","2,549,128","123,144,606",4.1%,"502,593","499,926","245,243","182,425","135,313","344,981","46,780","427,582",56.3,"113,594.08",,33.729759,-111.431221,15407,1149,229
Arkansas,"3,017,804","2,916,031",3.5%,"2,915,918",6.2%,23.2%,17.4%,50.9%,79.0%,15.7%,1.0%,1.7,0.4%,2.2%,7.8%,72.0%,"197,138",4.8%,"1,389,129",65.6%,"$127,800.00","$1,089.00",$353.00,$745.00,"12,723","1,158,071",2.52,84.6%,7.5%,86.2%,73.0%,86.6%,23.0%,12.6%,10.9%,57.9%,53.6%,"4,307,264","15,792,628","62,712,925","31,256,110","36,815,256","$12,483.00",21.7,"$47,597.00","$26,577.00",16.2%,"66,975","1,043,210","44,439,456",1.2%,"209,179","231,959","123,158","75,962","35,982","189,029","25,915","192,988",56.0,"52,035.48",,34.969704,-92.373123,2153,23,2
California,"39,512,223","37,254,519",6.1%,"37,253,956",6.0%,22.5%,14.8%,50.3%,71.9%,6.5%,1.6%,15.5,0.5%,4.0%,39.4%,36.5%,"1,574,531",26.8%,"14,366,336",54.8%,"$505,000.00","$2,357.00",$594.00,"$1,503.00","110,197","13,044,266",2.95,87.1%,44.2%,93.0%,86.7%,83.3%,33.9%,6.7%,8.9%,63.3%,57.5%,"90,830,372","248,953,592","512,303,164","666,652,186","481,800,461","$12,665.00",29.8,"$75,235.00","$36,955.00",11.8%,"954,632","15,223,664","1,020,958,926",2.2%,"3,453,769","3,548,449","1,852,580","1,320,085","1,619,857","1,819,107","252,377","3,176,341",239.1,"155,779.22",,36.116203,-119.681564,461305,70232,91
Colorado,"5,758,736","5,029,319",14.5%,"5,029,196",5.8%,21.9%,14.6%,49.6%,86.9%,4.6%,1.6%,3.5,0.2%,3.1%,21.8%,67.7%,"373,795",9.7%,"2,464,164",65.2%,"$343,300.00","$1,744.00",$474.00,"$1,271.00","38,633","2,148,994",2.56,82.0%,16.9%,93.9%,87.6%,91.7%,40.9%,7.2%,9.3%,67.6%,62.7%,"13,617,654","29,488,161","50,447,098","77,034,971","67,815,200","$13,073.00",25.8,"$72,331.00","$38,226.00",9.3%,"172,548","2,423,817","133,693,599",2.2%,"535,299","547,352","284,554","194,508","85,849","442,365","51,722","469,524",48.5,"103,641.89",,39.059811,-105.311104,21340,1451,3
Connecticut,"3,565,287","3,574,147",-0.2%,"3,574,097",5.1%,20.4%,17.7%,51.2%,79.7%,12.2%,0.6%,5,0.1%,2.5%,16.9%,65.9%,"167,521",14.6%,"1,524,992",66.1%,"$275,400.00","$2,119.00",$894.00,"$1,180.00","5,854","1,370,746",2.53,87.9%,22.3%,90.8%,85.5%,90.6%,39.3%,7.4%,7.0%,66.1%,62.1%,"9,542,068","29,573,119","55,160,095","161,962,244","51,632,467","$14,381.00",26.6,"$78,444.00","$44,496.00",10.0%,"89,054","1,528,867","97,728,524",-0.5%,"286,874","326,693","187,845","106,678","56,113","259,614","31,056","281,182",738.1,"4,842.36",,41.597782,-72.755371,10110,2377,225
Delaware,"973,764","897,937",8.4%,"897,934",5.6%,20.9%,19.4%,51.7%,69.2%,23.2%,0.7%,4.1,0.1%,2.7%,9.6%,61.7%,"65,438",9.6%,"443,781",71.2%,"$251,100.00","$1,587.00",$470.00,"$1,130.00","6,539","363,322",2.57,87.4%,13.3%,91.6%,85.0%,90.0%,32.0%,8.7%,8.1%,62.0%,58.5%,"2,148,437","7,003,251","22,597,384","5,628,914","14,456,001","$15,763.00",26.3,"$68,287.00","$35,450.00",11.3%,"25,771","405,809","23,045,652",1.3%,"68,623","73,418","38,328","23,964","14,440","54,782","7,206","60,318",460.8,"1,948.54",,39.318523,-75.507141,2289,29,3
District of Columbia,"705,749","601,767",17.3%,"601,723",6.4%,18.2%,12.4%,52.6%,46.0%,46.0%,0.6%,4.5,0.1%,2.9%,11.3%,37.5%,"26,156",13.7%,"322,793",41.6%,"$601,500.00","$2,569.00",$688.00,"$1,541.00","5,945","284,386",2.30,80.5%,17.2%,91.8%,82.6%,90.9%,58.5%,8.5%,3.9%,69.9%,68.3%,"5,101,602","8,963,981","309,832","2,591,868","4,439,933","$7,022.00",30.8,"$86,420.00","$56,147.00",13.5%,"23,751","539,557","43,490,513",2.4%,"62,583","63,408","30,237","27,064","29,983","29,521","5,070","54,217","9,856.5",61.05,,38.897438,-77.026817,2558,34,26
Florida,"21,477,737","18,804,564",14.2%,"18,801,310",5.3%,19.7%,20.9%,51.1%,77.3%,16.9%,0.5%,3,0.1%,2.2%,26.4%,53.2%,"1,440,338",20.7%,"9,673,682",65.4%,"$215,300.00","$1,503.00",$505.00,"$1,175.00","154,302","7,736,311",2.65,84.5%,29.4%,91.5%,83.0%,88.2%,29.9%,8.6%,16.3%,58.5%,54.3%,"49,817,925","124,061,425","96,924,106","252,626,608","273,867,145","$14,177.00",27.8,"$55,660.00","$31,619.00",12.7%,"566,894","8,669,611","404,483,243",3.4%,"2,388,050","2,100,187","1,084,885","807,817","926,112","1,121,749","185,756","1,846,686",350.6,"53,624.76",,27.766279,-81.686783,28627,2447,1
